Ort/Flughafen,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,April19,April20,April21
Rio De Janeiro,2171,2382,1664,1426,1043,2071,2648,1953,2342,2789,1237,2006,2191,2092,1826,1723,1111,2348,2171,1902,1966,2621,2419,2452,2243,1952,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723,0,0
Riyadh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Roma,15170,16854,21658,22427,22204,21061,23546,19998,21899,22756,17272,17059,14238,14011,15870,18779,18441,17921,18946,16627,18617,18316,15773,17044,15125,14272,3553,411,437,2228,4661,4073,4888,5504,1748,2052,1524,1299,1276,1484,3155,6286,8433,7772,8502,18779,411,1484
Ronchi Dei Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,255,242,0,0,0
Rostock-Laage,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rostov sur le Don,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotterdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
Rovaniemi,575,631,304,0,0,0,0,0,0,0,0,389,469,618,285,0,0,0,0,0,0,0,0,270,459,768,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUVARNABHUMI BANGKOK INTERNATIONAL,20075,17594,18272,18429,15599,17244,21046,18973,16825,20459,19219,20336,19783,17333,16033,18603,16688,17151,20956,18525,16830,20743,18688,20131,19503,16644,7824,4,0,17,37,218,240,428,857,1601,1168,702,721,602,440,432,1112,620,802,18603,4,602
Saarmelleek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
Salamanca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salzburg,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samara,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samos,0,0,0,0,436,581,682,511,554,314,0,0,0,0,0,0,433,567,699,528,550,317,0,0,0,0,0,0,0,0,485,247,348,93,0,0,0,0,0,0,0,0,432,245,0,0,0,0
San Diego,0,0,0,1077,485,1341,2644,2107,653,790,0,0,0,0,0,0,162,671,2657,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Francisco,8577,6494,9075,9638,9686,13386,16929,16158,14919,14504,8879,8908,9301,7621,8850,9737,13085,14019,16770,16186,14814,14365,8742,9327,9559,7478,2159,0,0,0,0,0,373,399,370,619,648,319,396,519,641,1103,3268,6109,4561,9737,0,519
San Jose,2719,2298,2621,2207,1695,2189,2783,2481,1986,3447,3722,3724,3924,3622,3771,3687,1721,2106,2787,2436,1645,2480,3578,4191,3867,3549,1738,0,0,0,0,0,0,0,0,624,845,1015,1382,1951,1332,976,1355,1310,846,3687,0,1951
Santa Cruz De La Palma,349,334,421,334,0,0,0,0,0,149,760,761,508,820,893,673,35,0,0,0,0,325,1136,900,659,551,280,0,0,0,0,0,0,57,486,367,345,340,249,402,441,348,441,445,518,673,0,402
Santiago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Santiago De Compostela,117,0,437,1703,1543,1887,4273,2792,2286,1785,0,308,255,0,0,1764,1768,2415,3447,2972,2042,1538,0,305,206,0,0,0,0,0,636,612,0,0,0,241,28,0,0,0,332,0,2531,1096,308,1764,0,0
Santorini,0,0,0,0,1211,1953,2538,2490,2399,1372,0,0,0,0,0,0,1886,1999,2660,2383,2639,1681,0,0,0,0,0,0,0,20,2179,1631,1547,947,0,0,0,0,0,0,1043,1116,2609,2159,2246,0,0,0
Sao Paulo,6416,7082,8571,8353,8801,9500,10119,9061,9158,10074,8591,9438,9385,8102,7854,8980,8661,8324,10181,9817,9609,10138,9512,9725,9993,9058,5235,0,0,0,741,736,639,1081,2105,6839,2052,1611,1129,686,732,980,4174,3224,4330,8980,0,686
Sarajevo,0,0,227,1203,962,812,1461,1031,860,695,0,0,0,0,143,1000,771,1052,1204,1028,832,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,1641,2268,1771,781,1000,0,0
Sevilla,1394,1637,1838,1948,1864,1587,1135,918,1623,1541,1614,1627,1107,1653,2018,2540,1899,1436,0,0,1869,1765,1308,960,634,925,434,0,0,0,0,0,0,0,0,0,0,0,0,90,338,0,0,0,142,2540,0,90
Shanghai Pudong International,4303,4460,5902,4850,5491,5874,6222,6322,5282,6280,5238,5680,4978,4538,5107,4951,6071,5950,6576,6127,5204,6350,5064,5274,4813,0,0,0,0,0,486,1222,907,922,1040,673,917,248,642,998,1147,992,898,1244,856,4951,0,998
Shannon,0,0,0,0,0,183,384,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharm El Sheikh International,362,548,748,520,500,389,703,550,567,707,693,516,387,526,709,541,822,676,1115,1120,1053,1050,646,443,358,473,188,0,0,0,0,0,0,482,372,509,581,526,539,1299,485,312,662,516,659,541,0,1299
Shenzhen,0,0,0,0,0,0,0,258,944,1181,771,1001,1217,1359,1586,1051,1021,1084,1173,1302,1081,1396,1217,1391,1057,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,0,0
Singapore,18565,16944,19132,18818,15269,19596,23397,21890,21427,23194,17050,22652,21344,18982,18455,20244,17334,20357,24277,22980,21966,23791,18120,22604,21512,17097,7157,26,17,149,513,386,344,446,431,515,622,366,497,486,374,447,1002,1029,1239,20244,26,486
Sion,0,149,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
Skiathos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,71,0,0,0,0
Skopje Alexander the Great,5399,4979,6567,9873,6179,5585,9260,5907,5862,6572,4919,6392,5236,4680,5849,8258,5249,5027,8050,5572,5032,5707,5395,5961,5614,5959,3144,107,0,0,2028,755,782,1010,2894,4376,3229,3659,2229,1158,4667,4141,9299,5354,2440,8258,107,1158
Sofia,794,856,1093,1449,1610,1230,1877,1266,1319,1252,887,1809,1049,1044,1202,1886,1707,1466,2031,1663,1476,1506,1149,1897,1342,903,746,304,703,1454,1730,1494,1129,1100,1005,1504,787,809,976,962,644,635,1855,1291,919,1886,304,962
Split,0,0,131,532,2791,3999,5110,4196,4316,1688,0,0,0,0,0,1003,3003,4527,5668,4494,4048,1701,0,0,0,0,0,0,0,1398,3289,2034,313,20,0,0,0,0,0,0,83,1692,4822,3842,2528,1003,0,0
St Petersburg,2333,1990,2896,4075,4437,4616,5457,4875,4190,3341,2120,2697,2081,1826,2730,3855,4685,4142,5186,4896,4346,3332,2683,2896,2743,2616,924,0,0,0,0,0,0,0,44,375,221,0,91,644,407,457,1249,438,413,3855,0,644
St. Gallen-Altenrhein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockholm,14506,12774,18631,17336,18343,19411,22170,20814,16605,15097,12915,13449,13120,12981,16686,16770,16416,18704,21962,20711,17311,14954,14352,15406,14896,14995,6619,538,1051,2092,3339,5770,4373,4927,3036,3528,2387,948,1049,1565,1446,3493,13297,14743,10046,16770,538,1565
Stuttgart,5370,5196,6542,7391,7237,8046,6986,5827,8317,7014,6172,5906,5093,4399,6331,7094,6933,8130,6848,7090,8984,6796,7474,6790,5437,3555,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2295,1669,7094,0,0
Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Tallinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,2301,1310,0,0,0
Tampa,1118,685,940,2354,961,1602,2662,2193,1497,2272,866,1093,595,600,991,1616,1343,1495,2641,1615,1068,1115,1332,1090,884,1246,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,0,0
Taranto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tel Aviv,13061,16245,19204,19159,17972,18098,20597,26399,19090,20753,15050,17422,12578,15572,19654,21112,21590,18869,22137,21600,20486,20481,16367,19258,13278,15118,3382,0,0,10,650,1465,856,1135,585,871,299,4,238,919,1138,3340,7607,10456,6893,21112,0,919
Tenerife,4163,4304,4730,6021,3748,4002,5874,4864,4540,6742,5183,4938,4088,4623,4724,4916,3178,3482,4175,3757,3956,4297,5254,5021,4674,4772,1308,3,0,0,2243,1519,709,460,915,1533,603,0,515,1833,1829,1918,4703,3683,3206,4916,3,1833
Thessaloniki,213,0,274,1089,1254,3297,4539,3735,3287,2234,0,404,144,0,32,2018,2207,2421,4204,3486,3184,2051,0,213,351,0,0,0,0,548,3974,2488,1631,1703,33,208,53,0,0,310,1216,2696,7075,5109,3937,2018,0,310
