Ort/Flughafen,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,April19,April20,April21
Aarhus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Abu Dhabi,5743,6135,5749,6422,7052,7066,8990,8060,6372,7283,4287,7002,4202,5068,4423,7973,7268,7818,8501,7810,6579,8088,5527,7396,5831,5930,2012,0,5,37,147,208,181,146,130,395,225,437,208,496,892,398,1700,2981,1800,7973,0,496
Addis Ababa,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adler/Sochi,0,0,93,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
Al Massira,434,432,437,486,331,353,533,644,466,434,439,349,416,389,386,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0
Alger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicante,328,571,2025,2846,3266,2973,3367,2796,3205,2773,997,1128,228,631,1751,3644,2798,3681,3895,3661,4011,3066,380,1166,322,666,678,0,0,0,1608,957,0,0,0,0,0,0,158,707,1787,1598,4809,4147,3686,3644,0,707
Amman,874,885,1173,1560,852,1225,1988,1917,935,1353,757,879,795,898,1074,1511,490,1297,1325,1449,762,1457,803,950,754,670,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,0,0
Amsterdam,35382,34915,42829,45097,43859,43258,42955,44179,42374,44608,38521,38343,34658,34434,39907,44619,44142,43508,43875,43649,41200,43006,38099,41036,35820,34942,16356,1007,2170,4552,10252,14527,12463,5642,6245,8946,4241,1966,2949,4235,4616,6523,16809,20344,20681,44619,1007,4235
Anchorage,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankara,0,0,0,0,0,210,714,677,199,0,0,0,0,0,0,0,0,393,892,464,267,0,0,0,0,0,0,326,0,0,755,279,59,0,0,0,0,0,0,0,0,0,864,385,131,0,326,0
Antalya,759,1752,2842,9801,10549,10502,20785,18557,20126,25482,4252,2530,1686,2582,4165,14264,12172,15408,26936,20189,22731,25784,3974,2751,1866,3107,1240,0,0,636,8551,9979,11548,15846,1775,1389,408,701,1528,2360,1235,4530,21652,16392,14572,14264,0,2360
Antwerpen,176,472,717,662,895,827,897,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqaba,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astrakhan,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athen,12982,13547,20973,22329,22965,22882,25765,21655,21922,19885,14653,19669,12856,13651,20263,21711,21600,22270,28137,24152,22268,20586,16223,20603,13852,14287,6905,446,1198,4845,12745,10394,9152,10043,2137,3302,1768,1646,1858,2578,6840,10241,19096,14406,15194,21711,446,2578
Atlanta,0,0,0,0,1992,5682,6758,6296,4227,0,0,0,0,0,0,0,2134,5477,6704,6421,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacau,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,111,0,0,0,0,0,0,0,0,0
Baku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0
Barcelona,15837,20836,29079,30252,30832,29674,37075,30844,32430,30343,21223,22408,17070,20177,26001,30883,28803,30027,36212,32941,33114,28481,21168,22848,18541,20754,7999,69,198,1223,7245,2379,985,925,964,2526,1673,582,1393,3946,5571,8058,17582,15783,15356,30883,69,3946
Bari,0,0,412,2068,2138,2098,2131,1999,2380,1489,0,0,0,0,0,1920,2320,2096,2552,2104,2193,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1226,852,928,1920,0,0
Basel,0,0,0,0,250,0,0,0,166,0,0,123,0,183,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basel Mühlhausen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,136,2850,0,0,0,0
Beijing,4119,5343,7249,7761,8390,9315,10242,10032,8250,9033,3809,3382,2925,3174,3508,7866,9185,9025,10046,9870,8146,8079,3722,3225,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7866,0,0
Beirut,573,738,934,1223,843,1004,2620,1708,1273,981,687,1184,796,744,532,829,599,900,1806,1350,992,788,256,707,301,0,0,0,0,0,0,0,0,0,0,294,29,0,0,0,0,0,1811,926,359,829,0,0
Beograd,10930,11316,14515,19544,18947,17114,22411,16410,16286,17091,12594,15440,10587,11928,13523,20376,19093,18273,26813,18878,19289,19531,13601,15921,11723,12427,3825,0,1025,7292,3813,3286,11380,13403,6322,4262,2347,3531,1699,3005,6324,11060,19321,13853,11105,20376,0,3005
Bergen,0,0,0,0,0,377,814,792,0,0,0,0,0,0,0,0,0,401,913,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,34225,38736,48750,58849,55262,56167,58663,55588,59755,61914,52950,52672,42970,44261,53232,52277,50483,48820,51259,44617,47797,50151,45412,49654,40506,40735,18126,493,1154,5991,18715,19422,18006,11585,3456,5949,4520,2186,2885,3284,4300,8078,18217,21261,23136,52277,493,3284
Bilbao,837,916,1439,2120,2131,2054,2204,1859,2415,1660,837,1101,498,511,1026,1645,1866,2161,1929,1997,1540,1453,1059,1248,626,937,354,0,0,0,389,262,0,0,0,259,30,0,0,187,173,569,2011,1870,1830,1645,0,187
Billund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,556,0,0,0,0
Birmingham,4339,4285,3606,4571,3880,3704,4370,4601,4762,3938,4065,4301,4106,4117,3499,4071,3592,3736,4450,4520,4480,3750,3714,4137,4477,4455,1053,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,57,0,557,4071,0,0
Bogota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bombay,4845,4520,4450,3790,5385,6664,6805,5303,4894,6233,5838,6799,5810,4868,3809,4764,6118,6737,6881,5375,4996,6501,6447,6754,5685,3818,755,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4764,0,0
Bordeaux,0,0,547,2964,3255,3195,4035,4248,3278,3160,3174,3237,2655,3008,3759,3679,3581,3531,4147,4305,3722,3429,3098,2775,2079,2119,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,2986,3032,1706,3679,0,0
Boston,5261,3717,5292,5622,5620,6932,12627,12208,11295,11932,4917,5146,5285,3759,5357,5481,5615,9879,12505,12534,11470,11637,4933,5525,5507,4160,1192,0,0,0,0,0,0,262,272,337,361,0,0,0,224,978,2722,4784,3829,5481,0,0
Bourgas,0,0,0,0,0,195,1180,806,25,0,0,0,0,0,0,0,0,92,638,500,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bratislava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braunschweig,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,35,0,0,0,0,0,0,133,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braunschweig-Wolfsburg,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremen,0,0,0,0,0,0,0,0,0,262,2528,2731,2356,2372,2917,3882,3195,3348,3502,3294,3397,3919,3331,3714,2791,2851,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3882,0,0
Brindisi,0,0,528,2362,2417,3147,4978,4329,3855,2714,715,942,496,476,962,2772,3346,3648,6189,4824,3941,2547,642,1145,698,398,156,0,0,993,5810,4976,5112,3255,100,418,67,0,0,82,729,3091,9497,7078,6829,2772,0,82
Bristol,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruxelles,10982,10386,12399,12297,13307,12774,13543,13084,13726,13274,13848,12343,11604,10856,13686,14234,13015,13285,14423,13984,14275,13211,14826,13533,12458,11870,4535,17,0,570,2507,1711,1114,419,486,983,846,339,428,532,949,1259,5148,7428,6988,14234,17,532
Bucuresti,3043,3062,3555,4144,4156,4193,4611,4586,4689,4258,3386,4341,3065,3054,3795,4725,4324,4891,6662,6260,5019,4691,3788,4725,3476,3301,1495,0,0,994,2984,1463,418,328,425,1290,681,694,1016,1382,1806,3870,6856,6476,5343,4725,0,1382
Budapest,6834,7043,9503,10647,10277,9879,11265,10265,9999,9864,8942,9081,6835,7004,9358,10416,10831,10404,11558,10658,10144,9959,8480,9008,6777,7998,2741,0,0,886,4141,4459,451,150,0,311,242,0,0,120,238,2392,3806,4728,4065,10416,0,120
Buenos Aires,0,0,0,0,0,0,0,0,0,0,1817,2475,2354,2320,2151,1696,1806,2475,2578,2213,2605,2438,2360,2531,2566,2354,1126,0,0,0,0,0,0,0,3,0,0,137,163,529,466,846,1876,2272,2231,1696,0,529
Cagliari,0,0,157,864,1648,3425,3417,2620,3559,1495,125,596,175,0,0,891,1153,2884,3203,2436,2971,1095,0,0,0,0,0,0,0,0,1956,955,1015,415,0,0,0,0,0,0,362,1817,2555,1407,1911,891,0,0
Cairo,1687,1957,2116,2229,1685,2474,2945,3233,2421,2105,2319,2629,2064,2436,2492,2378,2053,2375,3020,2201,2146,2567,2344,2636,2038,2048,661,0,0,1,0,0,0,0,0,0,26,0,0,0,0,168,3016,1037,1225,2378,0,0
Calgary,0,0,0,0,0,1858,2590,2603,961,0,0,0,0,0,0,0,312,1692,2321,2098,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvi,0,0,0,0,292,258,401,242,382,76,0,0,0,0,0,0,118,379,378,247,377,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancun,2419,2275,2550,2273,2405,2540,4094,3364,2097,3854,3339,3934,3540,3363,3294,3778,2552,2597,3869,3049,1978,3534,3862,3767,3912,3839,1860,9,0,0,0,0,0,1311,1160,1256,2625,2288,2787,2685,972,1056,2639,2782,1760,3778,9,2685
Cape Town,3753,3659,3826,3180,612,0,0,0,927,5587,4942,4583,5196,4398,4013,3592,1148,0,0,0,1238,5211,4671,5217,5469,4676,1952,0,0,0,0,0,0,0,116,671,58,0,0,0,0,0,0,0,0,3592,0,0
Casablanca,1041,809,1017,1483,964,1215,2373,2201,839,941,536,1004,894,987,748,859,685,835,1532,726,893,926,834,1126,683,567,401,0,0,0,0,0,0,72,164,0,0,0,0,0,0,0,0,0,0,859,0,0
Catania,1695,1556,2282,4797,4276,4637,5147,4375,4259,3532,2126,2689,2036,1631,3045,4546,4082,4605,4220,4035,4569,3923,1231,818,1677,716,461,0,0,1265,3592,2507,2541,1872,145,186,0,0,53,0,137,896,3158,2392,2032,4546,0,0
Chania,0,0,0,158,760,591,606,747,593,442,0,0,0,0,0,0,983,1095,1380,1371,1363,733,0,0,0,0,0,0,0,0,594,471,445,345,0,0,0,0,0,0,422,653,1091,914,725,0,0,0
Chengdu,0,0,0,0,0,227,665,887,630,891,784,1533,994,1067,1137,1365,1256,1384,1867,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,0,0
Chicago,6291,4287,7496,9635,8532,12334,14573,13784,12658,11712,6087,5901,5871,4121,6254,7949,8963,11876,14132,13790,12133,11292,5942,5995,6058,4640,2110,0,0,550,879,1443,779,501,265,468,611,267,459,622,1008,2057,5076,8086,6279,7949,0,622
Colombo,0,0,0,0,0,0,0,0,0,0,2399,2747,2689,2455,2674,2032,110,0,0,0,0,311,2558,2403,2785,2727,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,0,0
Constanta,0,0,0,149,0,135,0,0,0,0,0,0,0,0,0,137,0,152,0,148,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,137,0,0
Cork,0,0,0,0,966,1329,1679,1559,1213,1144,0,0,0,0,0,573,1721,1803,2335,1929,1950,1196,0,0,0,0,0,0,0,0,116,37,0,0,0,0,0,0,0,0,0,0,390,912,224,573,0,0
Dalaman,0,0,0,0,0,0,477,722,582,325,0,0,0,0,0,0,0,0,492,706,584,457,0,0,0,0,0,0,0,0,606,251,327,315,0,0,0,0,0,0,0,0,751,290,325,0,0,0
Dallas/Fort Worth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,44
Dar Es Salaam,4393,4139,3695,3914,3372,4526,5948,5488,4923,4870,3964,5354,4524,4048,3822,3851,3740,5470,5923,5618,5006,4565,4615,5084,4534,4627,1675,0,0,0,120,112,517,373,0,0,0,0,0,0,0,0,0,0,0,3851,0,0
Denver,0,0,0,0,0,1853,2541,2367,1081,0,0,0,0,0,0,0,633,1742,2244,1875,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
Djerba,87,298,479,846,1146,833,1889,874,1339,1214,0,0,0,0,0,1605,1616,2219,2460,1912,2674,2056,0,0,0,0,0,0,0,48,1042,413,406,178,0,0,0,0,0,391,0,126,1986,446,486,1605,0,391
Doha,0,0,0,0,0,0,0,0,0,0,0,0,9864,9920,8652,13151,10396,11341,14834,12249,10679,12850,9429,12462,10237,10469,4517,293,179,508,708,765,902,1389,1546,2327,1813,2258,1580,1389,1222,1297,3787,4466,3885,13151,293,1389
Domodedovo International,7441,6162,7707,8083,8677,10817,10341,9968,9157,7200,6569,7983,7466,5916,7296,8010,9156,8644,10494,9890,9049,8233,7312,7817,8151,6835,2402,0,0,0,0,867,1647,1789,1249,2583,1659,1767,1956,2581,3341,2739,4253,4229,3828,8010,0,2581
Dresden,1875,1845,3817,3477,3748,3803,3723,3505,4099,4363,4259,4588,3134,3130,4254,4301,4576,4390,4032,3883,4436,4427,4444,4834,3407,3844,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,1269,1671,4301,0,0
Dubai,20995,22706,23522,25564,19178,19650,29943,27924,22723,25658,18816,24590,18600,20741,19401,23848,18538,20543,28291,25482,20818,26250,21483,24336,19299,20952,7985,2,0,129,845,1239,1151,1441,3269,8554,6328,5977,4475,8306,9873,4377,9976,15717,11057,23848,2,8306
Dublin,6546,7042,9436,12139,11501,12197,15686,15286,13411,12249,7991,9039,7453,7630,10066,13200,12990,13513,15673,15023,13858,12626,9317,9359,8216,8722,3811,18,0,499,1225,1484,782,318,0,496,681,137,220,460,609,773,2894,4934,5324,13200,18,460
Dubrovnik,0,0,164,1410,2341,2551,2641,2392,2438,1383,0,0,0,0,0,1611,2344,2408,2671,2066,2740,1262,0,0,0,0,0,0,0,0,972,649,90,0,0,0,0,0,0,0,0,358,1353,836,477,1611,0,0
Dushanbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Düsseldorf,27931,25804,31130,31352,31065,31170,30263,28391,29522,32424,35629,32438,30108,27972,35427,32668,31386,32307,32259,29591,31998,34554,29895,26561,25850,24336,8671,234,579,3521,6152,7855,8299,5889,1735,2671,1820,837,1085,1548,1560,3377,6633,8082,10734,32668,234,1548
Edinburgh,161,223,528,1973,2218,2907,3003,2773,2410,1242,865,680,273,315,1016,1844,2463,2908,3647,3599,3115,1838,927,513,249,0,98,0,0,242,495,461,73,0,0,0,0,0,0,0,0,0,0,249,314,1844,0,0
Edmonton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0
Eilat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0
Ercan,0,390,585,424,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,246,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0
Exeter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farnborough,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faro,0,0,324,1113,1288,1473,2057,1629,2195,1627,666,0,0,0,503,1974,1716,1925,1751,1876,1835,1707,620,0,0,386,360,0,74,774,2323,1504,1457,198,165,149,92,0,0,527,1323,1144,2605,2271,2147,1974,0,527
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
Figari,0,0,0,0,0,0,448,331,451,136,0,0,0,0,0,0,0,335,550,516,309,136,0,0,0,0,0,0,0,136,561,409,108,0,0,0,0,0,0,0,0,0,568,282,225,0,0,0
Firenze,6381,6185,8037,7597,8099,7928,8268,7630,8004,7326,6341,6395,6362,5474,7899,6722,7566,7730,7574,6745,7918,6814,6211,5997,5906,5299,535,0,0,400,1015,1606,1517,1188,143,356,63,0,0,47,125,887,2375,2808,3762,6722,0,47
Frankfurt,26396,24898,28951,28679,26608,28644,34268,27635,29320,29083,26402,26572,24428,23760,27250,29686,26867,28475,34254,27606,28477,28720,25813,27002,23786,22253,12457,1651,4132,6425,9274,7563,7325,6621,4591,6885,5048,4736,5584,5819,6202,7294,12763,12881,13737,29686,1651,5819
Fuerteventura,1477,1767,1833,2743,3141,2907,5468,3490,3254,5075,1972,1758,1502,1910,2302,2461,1631,2062,2024,2073,2217,3198,1767,1766,1393,1779,678,0,0,0,1267,927,254,181,569,513,381,167,418,768,1114,863,1838,1794,1346,2461,0,768
Funchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,474,749,1073,1708,1539,961,0,0,474
Gaziantep,0,0,0,0,0,306,751,855,577,480,0,0,0,0,0,0,0,487,921,698,763,380,0,0,0,0,0,0,0,124,954,475,216,0,0,0,0,0,0,0,0,184,800,787,342,0,0,0
Gdansk,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,1693,1835,2053,1598,1614,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,1044,1244,1165,1185,0,0
Genova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0
Genève,25408,23293,27652,27695,24720,23415,28044,31513,24510,23095,22119,24796,26682,22195,26839,26664,23182,26659,28790,33065,26320,23897,22573,26600,27120,22626,10249,0,0,0,3698,5680,4696,3583,2236,4056,3970,2079,2328,3824,4493,6366,10964,14152,10122,26664,0,3824
Gerona,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graz,1615,1783,2347,2652,2755,2847,3066,2905,2955,2609,2451,2162,1739,1542,1656,2548,2321,2449,2849,2502,2742,2359,2553,2490,1726,1772,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,1369,1423,2548,0,0
Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
Grozny North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Göteborg Landvetter,2252,2366,3064,3157,3347,3059,3984,3603,3296,2857,2139,2537,2454,2476,3052,4987,4297,4485,5934,4725,3716,3383,2018,2585,2742,2299,816,0,0,900,1206,1837,923,1152,388,854,351,0,27,363,429,1074,4057,3416,2333,4987,0,363
Hamburg,23868,23523,31356,33270,34005,33124,37997,33001,32810,34506,28279,30070,24248,22840,31928,31502,30960,30385,33904,28206,28775,29222,24995,25859,20869,20992,10464,229,108,3951,12238,13965,12050,7593,1746,3108,2064,1209,2054,2179,3095,6205,15527,16610,17101,31502,229,2179
Hannover,7172,6363,8804,12532,10800,11138,11401,8976,11795,11951,7820,6739,6163,5877,8062,11187,11066,10053,10381,9074,11941,10278,8003,7024,6011,5347,1818,0,0,0,0,0,1147,1119,149,166,63,0,0,0,0,587,1630,1993,2763,11187,0,0
Havana,2477,2355,2654,2595,1858,2087,2421,2438,1662,2164,2646,2613,2621,2399,2396,2687,2071,1991,2678,2416,1543,2372,2463,2745,2740,2379,1225,0,0,0,0,0,0,0,0,932,571,231,0,0,0,0,0,0,0,2687,0,0
Helsinki,7676,7697,9382,8745,9076,9578,12125,8594,7962,8278,6229,7851,6371,8078,8542,9138,8963,10154,12788,9154,8765,8613,6295,8129,6595,7915,3819,160,291,1332,4227,1473,889,912,717,1237,833,903,747,944,1266,1807,5317,3576,3768,9138,160,944
Heraklion,0,451,1578,5154,6654,7157,9155,8323,8890,7167,361,0,0,0,424,5040,6850,7968,8882,9030,9879,7382,520,0,0,0,0,0,0,0,6266,5694,6760,6373,60,0,0,0,0,0,2478,4755,15409,13081,10441,5040,0,0
Heringsdorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,404,418,464,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ho Chi Minh City,0,0,0,0,0,0,0,0,0,0,1177,2499,2521,2106,1426,896,0,0,0,0,0,0,860,2378,2302,1251,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,0
Hong Kong,14328,14537,16229,14849,13254,16174,18829,17419,15107,18388,14378,16960,14966,14405,15209,17191,16246,17608,20189,17760,16393,20130,15215,17527,16192,8734,4059,0,0,594,725,832,575,515,241,188,370,161,155,161,225,398,1310,1369,600,17191,0,161
Hrodna,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hurghada,2870,4228,5696,8003,6479,6365,7944,7934,8828,10403,6724,6527,3842,5525,7810,10680,6695,5991,6612,6629,7906,9893,7506,5703,3797,6632,2559,0,0,0,2062,2025,2360,3592,2136,2248,1464,1893,2691,5522,827,399,3223,4061,5215,10680,0,5522
Ibiza,0,206,377,2354,5155,6129,7153,6205,6160,3346,131,535,65,472,69,2353,3916,4740,4972,4648,3991,2414,430,284,115,0,0,0,0,417,3534,1736,153,22,0,236,60,0,156,904,2890,3451,7961,5602,5184,2353,0,904
Incheon International,3189,2265,3697,2213,2921,3132,3237,3320,3014,3446,2454,1937,3132,2895,3776,2451,2934,3486,3455,3726,3006,3389,3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0,0
Indira Gandhi International,6068,6149,5645,4333,4470,6428,5458,5277,5355,6875,6280,6895,6317,5647,4977,5799,5826,5988,5841,4874,5314,6856,6732,6757,6247,5677,1385,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5799,0,0
Inverness,0,0,0,0,0,0,635,299,0,0,0,0,0,0,0,0,0,0,640,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
