Time series,SWISS,Edelweiss Air,Lufthansa German Airlines,KLM-Royal Dutch Airlines,Turkish Airlines,Eurowings,British Airways,Easyjet,Air Berlin,Restliche 83 Airlines
2017,53.84290790017807,4.247579984977762,2.924272729574398,1.7739743946797646,1.0929100100429567,1.8043564490130053,2.585850402140247,2.1638774252896846,2.7808019174452068,26.783468786658908
2018,53.73570858814145,5.5296383134724,2.821622231353686,1.716983716451943,1.0554897553036346,3.3799843690830134,2.5452611732856347,3.3799843690830134,0.0,25.83532748382523
2019,55.144187566375294,6.269095662119108,2.896822155052692,1.7425046973286495,1.0342292296381015,3.5299403643493177,2.662364185932522,2.690139694469406,0.0,24.030716444734907
2020,49.07219350073856,8.149464549483014,4.3205317577548,2.5018463810930576,1.290158788774003,3.371953471196455,2.2456610044313146,2.14872599704579,0.0,26.899464549483017
2021,51.435391537632825,11.13035763324109,3.0524514670778853,2.2159318954773024,2.1821331249075815,2.1145355837681405,1.1660575846553582,0.9801643465218952,0.0,25.722976826717932
