,2000-Jan,2000-Feb,2000-Mrz,2000-Apr,2000-Mai,2000-Jun,2000-Jul,2000-Aug,2000-Sep,2000-Okt,2000-Nov,2000-Dez,2001-Jan,2001-Feb,2001-Mrz,2001-Apr,2001-Mai,2001-Jun,2001-Jul,2001-Aug,2001-Sep,2001-Okt,2001-Nov,2001-Dez,2002-Jan,2002-Feb,2002-Mrz,2002-Apr,2002-Mai,2002-Jun,2002-Jul,2002-Aug,2002-Sep,2002-Okt,2002-Nov,2002-Dez,2003-Jan,2003-Feb,2003-Mrz,2003-Apr,2003-Mai,2003-Jun,2003-Jul,2003-Aug,2003-Sep,2003-Okt,2003-Nov,2003-Dez,2004-Jan,2004-Feb,2004-Mrz,2004-Apr,2004-Mai,2004-Jun,2004-Jul,2004-Aug,2004-Sep,2004-Okt,2004-Nov,2004-Dez,2005-Jan,2005-Feb,2005-Mrz,2005-Apr,2005-Mai,2005-Jun,2005-Jul,2005-Aug,2005-Sep,2005-Okt,2005-Nov,2005-Dez,2006-Jan,2006-Feb,2006-Mrz,2006-Apr,2006-Mai,2006-Jun,2006-Jul,2006-Aug,2006-Sep,2006-Okt,2006-Nov,2006-Dez,2007-Jan,2007-Feb,2007-Mrz,2007-Apr,2007-Mai,2007-Jun,2007-Jul,2007-Aug,2007-Sep,2007-Okt,2007-Nov,2007-Dez,2008-Jan,2008-Feb,2008-Mrz,2008-Apr,2008-Mai,2008-Jun,2008-Jul,2008-Aug,2008-Sep,2008-Okt,2008-Nov,2008-Dez,2009-Jan,2009-Feb,2009-Mrz,2009-Apr,2009-Mai,2009-Jun,2009-Jul,2009-Aug,2009-Sep,2009-Okt,2009-Nov,2009-Dez,2010-Jan,2010-Feb,2010-Mrz,2010-Apr,2010-Mai,2010-Jun,2010-Jul,2010-Aug,2010-Sep,2010-Okt,2010-Nov,2010-Dez,2011-Jan,2011-Feb,2011-Mrz,2011-Apr,2011-Mai,2011-Jun,2011-Jul,2011-Aug,2011-Sep,2011-Okt,2011-Nov,2011-Dez,2012-Jan,2012-Feb,2012-Mrz,2012-Apr,2012-Mai,2012-Jun,2012-Jul,2012-Aug,2012-Sep,2012-Okt,2012-Nov,2012-Dez,2013-Jan,2013-Feb,2013-Mrz,2013-Apr,2013-Mai,2013-Jun,2013-Jul,2013-Aug,2013-Sep,2013-Okt,2013-Nov,2013-Dez,2014-Jan,2014-Feb,2014-Mrz,2014-Apr,2014-Mai,2014-Jun,2014-Jul,2014-Aug,2014-Sep,2014-Okt,2014-Nov,2014-Dez,2015-Jan,2015-Feb,2015-Mrz,2015-Apr,2015-Mai,2015-Jun,2015-Jul,2015-Aug,2015-Sep,2015-Okt,2015-Nov,2015-Dez,2016-Jan,2016-Feb,2016-Mrz,2016-Apr,2016-Mai,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Okt,2016-Nov,2016-Dez,2017-Jan,2017-Feb,2017-Mrz,2017-Apr,2017-Mai,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Okt,2017-Nov,2017-Dez,2018-Jan,2018-Feb,2018-Mrz,2018-Apr,2018-Mai,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Okt,2018-Nov,2018-Dez,2019-Jan,2019-Feb,2019-Mrz,2019-Apr,2019-Mai,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Okt,2019-Nov,2019-Dez,2020-Jan,2020-Feb,2020-Mrz,2020-Apr,2020-Mai,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Okt,2020-Nov,2020-Dez,2021-Jan,2021-Feb,2021-Mrz,2021-Apr,2021-Mai,2021-Jun,2021-Jul,2021-Aug,2021-Sep
Linienverkehr,1405398.0,1400160.0,1730212.0,1786981.0,1817827.0,1802583.0,1967545.0,1920556.0,1895338.0,1916056.0,1550748.0,1520191.0,1516048.0,1489765.0,1810888.0,1815309.0,1772150.0,1845426.0,1963527.0,1942300.0,1772504.0,1108478.0,935150.0,1086713.0,1112164.0,1094045.0,1362996.0,1335999.0,1367542.0,1419986.0,1522895.0,1536034.0,1488857.0,1450172.0,1177282.0,1178628.0,1169669.0,1107288.0,1268527.0,1196271.0,1208365.0,1321575.0,1443195.0,1487636.0,1379154.0,1413076.0,1123661.0,1173469.0,1120198.0,1112431.0,1257559.0,1295443.0,1269835.0,1316256.0,1447782.0,1430830.0,1390932.0,1394923.0,1144084.0,1201909.0,1192317.0,1103026.0,1359476.0,1382104.0,1403206.0,1426774.0,1584244.0,1536370.0,1484817.0,1456979.0,1242489.0,1292508.0,1244089.0,1192371.0,1443249.0,1524558.0,1570332.0,1624051.0,1733713.0,1708642.0,1656848.0,1642094.0,1388898.0,1460490.0,1379175.0,1312662.0,1605788.0,1648925.0,1653065.0,1697496.0,1859679.0,1827073.0,1776139.0,1798207.0,1539742.0,1555114.0,1491880.0,1489115.0,1756851.0,1791741.0,1894983.0,1840688.0,2044590.0,2024367.0,1899952.0,1901099.0,1584654.0,1568577.0,1475454.0,1387230.0,1620211.0,1784168.0,1800431.0,1894806.0,2049307.0,2045037.0,1927505.0,2004315.0,1687235.0,1714313.0,1597438.0,1543269.0,1808956.0,1542191.0,1943637.0,1978623.0,2211437.0,2190804.0,2103044.0,2165515.0,1759319.0,1720360.0,1674120.0,1613233.0,1867433.0,1991984.0,2075988.0,2103257.0,2392486.0,2270602.0,2182017.0,2197950.0,1780949.0,1789545.0,1693273.0,1680276.0,1953196.0,2081146.0,2097572.0,2165683.0,2405852.0,2344155.0,2237027.0,2187290.0,1782705.0,1787171.0,1696403.0,1641261.0,1997691.0,2077163.0,2152568.0,2193463.0,2429977.0,2402273.0,2230469.0,2222516.0,1767623.0,1793201.0,1708805.0,1636012.0,1932900.0,2115623.0,2138901.0,2251333.0,2476660.0,2531896.0,2328634.0,2324213.0,1814829.0,1876217.0,1749008.0,1672501.0,1984446.0,2157596.0,2256727.0,2266209.0,2615406.0,2640304.0,2406819.0,2379121.0,1890818.0,1904372.0,1802240.0,1756356.0,2064653.0,2192997.0,2392920.0,2362073.0,2831652.0,2782496.0,2585317.0,2627658.0,2013796.0,2100968.0,1959555.0,1874437.0,2191432.0,2528847.0,2491859.0,2619389.0,2968878.0,2924280.0,2734379.0,2729073.0,2086463.0,2172328.0,2005630.0,1959158.0,2387545.0,2685669.0,2694583.0,2774503.0,3098212.0,3068813.0,2852324.0,2855756.0,2208498.0,2297971.0,2129941.0,2029641.0,2418805.0,2712199.0,2704552.0,2872376.0,3121610.0,3087416.0,2866566.0,2831982.0,2227572.0,2329592.0,2142984.0,2003704.0,883666.0,21233.0,41935.0,199686.0,685167.0,719904.0,531474.0,460978.0,243378.0,353153.0,285682.0,189825.0,224582.0,321800.0,445820.0,615287.0,1349228.0,1581591.0,1368265.0
Charterverkehr,100264.0,88324.0,99625.0,169061.0,181542.0,207535.0,302222.0,280396.0,228100.0,246178.0,89382.0,89939.0,88657.0,87879.0,103164.0,176437.0,180520.0,209526.0,284397.0,269490.0,250736.0,240486.0,84767.0,86108.0,80167.0,83112.0,107808.0,150544.0,176712.0,196041.0,272473.0,278500.0,230441.0,243915.0,99963.0,88733.0,86226.0,78693.0,94199.0,124931.0,139388.0,162552.0,238598.0,241317.0,193823.0,224690.0,106798.0,92021.0,87337.0,88899.0,104673.0,155633.0,156979.0,172690.0,260869.0,234993.0,210278.0,244130.0,102700.0,80628.0,83681.0,76214.0,92805.0,121970.0,133436.0,141324.0,220411.0,194190.0,164700.0,207730.0,74708.0,63543.0,67932.0,63140.0,69251.0,117090.0,105029.0,118711.0,185795.0,175644.0,156289.0,169511.0,71236.0,69077.0,66003.0,65269.0,73532.0,88154.0,87576.0,100401.0,155688.0,149925.0,132912.0,141886.0,49753.0,49706.0,48513.0,48303.0,58208.0,49295.0,63468.0,69057.0,108688.0,102144.0,78713.0,107914.0,49974.0,44626.0,40911.0,33491.0,39145.0,48362.0,52055.0,52785.0,92012.0,86451.0,57054.0,72167.0,11583.0,13300.0,14000.0,8150.0,9992.0,18268.0,35931.0,28611.0,49519.0,40468.0,37289.0,79361.0,16354.0,15232.0,18462.0,14014.0,13755.0,31149.0,31954.0,38904.0,64343.0,53509.0,45205.0,87411.0,19669.0,18203.0,20072.0,16646.0,17256.0,33214.0,39453.0,44517.0,74901.0,61848.0,57436.0,74307.0,9641.0,5268.0,6992.0,7339.0,8890.0,18005.0,30839.0,35178.0,55050.0,47705.0,48077.0,53288.0,10764.0,7004.0,4688.0,10731.0,13291.0,20475.0,31962.0,41435.0,52818.0,54486.0,57233.0,72655.0,9354.0,2520.0,2265.0,3964.0,5537.0,27604.0,38823.0,45322.0,57992.0,52740.0,51791.0,75283.0,6799.0,2870.0,4353.0,6405.0,3928.0,8965.0,13111.0,13951.0,21743.0,17237.0,15974.0,35544.0,4699.0,3491.0,4375.0,8940.0,6117.0,6293.0,6254.0,7946.0,12092.0,12850.0,11520.0,28163.0,4385.0,4703.0,3366.0,4822.0,8585.0,16528.0,13352.0,15183.0,31282.0,30997.0,26468.0,48079.0,8139.0,7454.0,5591.0,5975.0,5078.0,14924.0,13265.0,17013.0,28342.0,24282.0,22030.0,37050.0,6930.0,3606.0,3069.0,5779.0,5771.0,2621.0,1101.0,251.0,633.0,2509.0,2515.0,3545.0,789.0,999.0,748.0,648.0,1306.0,406.0,952.0,2340.0,11571.0,11998.0,7849.0
